,prestadores_modelo
0,20666
1,1556
2,26044
3,40503
4,22908
5,21929
6,79466
7,77524
8,88845
9,80635
10,103116
11,781
12,26108
13,21994
14,103143
15,160286
16,67484
17,59604
18,83753
19,29119
20,26742
21,56921
22,242144
23,20251
24,21434
25,24483
26,21432
27,85933
28,176820
29,24220
30,85940
31,21478
32,80820
33,20831
34,160824
35,26825
36,81638
37,40068
38,81562
39,20942
40,24187
41,20213
42,20492
43,20714
44,94308
45,138419
46,129946
47,40485
48,662
49,72774
50,40307
51,2118
52,67697
53,22131
54,66115
55,792
56,130430
57,27106
58,77274
59,81332
60,109612
61,30872
62,31503
63,85315
64,145735
65,84396
66,84639
67,29959
68,168204
69,25780
70,67680
71,37752
72,159994
73,637
74,190864
75,78416
76,22584
77,118450
78,57368
79,24352
80,88839
81,45050
82,179096
83,26640
84,24913
85,108267
86,176009
87,81340
88,768
89,91963
90,96081
91,96166
92,57463
93,185549
94,123524
95,375
96,64789
97,87196
98,70560
99,25900
100,98605
101,26873
102,159083
103,20738
104,141305
105,23301
106,21705
107,48096
108,190164
109,80446
110,10962
111,162949
112,169127
113,21716
114,85768
115,22089
116,79882
117,20495
118,26216
119,102070
120,24186
121,31192
122,78419
123,25105
124,22259
125,150338
126,99787
127,26215
128,27036
129,129412
130,81376
131,24319
132,34621
133,103144
134,1871
135,27204
136,56717
137,22270
138,123878
139,20181
140,29308
141,155994
142,183542
143,26236
144,20545
145,20623
146,150339
147,754
148,85984
149,24643
150,24228
151,30239
152,175933
153,25775
154,63799
155,28513
156,28511
157,84339
158,20202
159,103606
160,24650
161,180699
162,67851
163,20568
164,40172
165,307
166,138265
167,165154
168,144595
169,790
170,21446
171,149186
172,102633
173,30208
174,61712
175,122807
176,28278
177,20203
178,150941
179,10366
180,80429
181,96745
182,86173
183,24118
184,102928
185,130244
186,26262
187,22486
188,163812
189,67923
190,81252
191,81056
192,117620
193,135947
194,21333
195,81358
196,26615
197,26869
198,26786
199,117621
200,158199
201,21599
202,28850
203,164370
204,21332
205,68038
206,25578
207,163116
208,162985
209,26141
210,163120
211,103604
